Code;Libellé;Médiane du revenu disponible par UC 2017
200066330;CC Terres du Haut Berry;21590
200066348;CC du Minervois au Caroux;17280
200066355;CA Sète Agglopôle Méditerranée;19520
200066363;CC de la Haute Ariège;19830
200066371;CC Causses et Vallée de la Dordogne;20050
200066389;CA Saint-Lô Agglo;20390
200066405;CC Roumois Seine;23100
200066413;CC Intercom Bernay Terres de Normandie;20430
200066462;CC Interco Normandie Sud Eure;19880
200066512;CC Élan Limousin Avenir Nature;20630
200066520;CC Ouest Limousin;18910
200066553;CC des Monts de Lacaune et de la Montagne du Haut Languedoc;18780
200066561;CC Sidobre Vals et Plateaux;19470
200066587;CC des Monts du Lyonnais;21200
200066603;CC du Pays de Lubersac-Pompadour;19590
200066637;CC Hautes Terres Communauté;19020
200066645;CC Vézère-Monédières-Millesources;19310
200066652;CC Grand Sud Tarn et Garonne;20840
200066660;CC Saint-Flour Communauté;19370
200066678;CC de la Châtaigneraie Cantalienne;19540
200066710;CC Cingal-Suisse Normande;20960
200066728;CC Vallées de l'Orne et de l'Odon;23220
200066744;CC Haute-Corrèze Communauté;19700
200066751;CC Xaintrie Val'Dordogne;19320
200066769;CC Midi Corrézien;20280
200066777;CC Ploërmel Communauté;19930
200066785;CC de l'Oust à Brocéliande;20170
200066793;CA du Grand Annecy;25620
200066801;CC Isigny-Omaha Intercom;19740
200066819;CC du Volvestre;20980
200066827;CC du Pays de Honfleur-Beuzeville;20970
200066835;CC de Sézanne-Sud Ouest Marnais;20950
200066850;CC des Paysages de la Champagne;22610
200066868;CC Presqu'île de Crozon-Aulne maritime;20640
200066876;CA de Châlons-en-Champagne;20470
200066884;CC Quercy Vert-Aveyron;19980
200066892;CC de Vendeuvre-Soulaines;19940
200066918;CA Alès Agglomération;18280
200066926;CA Grand Auch Cœur de Gascogne;20850
200066975;CC Senlis Sud Oise;26550
200067023;CC Coutances Mer et Bocage;19960
200067031;CC Côte Ouest Centre Manche;19040
200067049;CC Spelunca-Liamone;20410
200067064;CC Decazeville Communauté;18800
200067072;CC Haut-Léon Communauté;20260
200067080;CC Chablis, Villages et Terroirs;21340
200067106;CA du Pays Basque;21220
200067114;CA de l'Auxerrois;20860
200067122;CC Coteaux et Plaines du Pays Lafrançaisain;19660
200067130;CC de Puisaye-Forterre;19800
200067155;CC Saint Affricain, Roquefort, Sept Vallons;19720
200067163;CC Monts, Rance et Rougier;18290
200067171;CC Aubrac, Carladez et Viadène;19000
200067189;CC Creuse Sud Ouest;18010
200067197;CC Monts d'Arrée Communauté;18350
200067205;CA du Cotentin;20850
200067213;CU du Grand Reims;21120
200067221;CC Centre Morbihan Communauté;20060
200067239;CC des Luys en Béarn;22100
200067247;CC Pleyben-Châteaulin-Porzay;20180
200067254;CA Pau Béarn Pyrénées;21450
200067262;CC du Haut-Béarn;20660
200067288;CC du Béarn des Gaves;19690
200067296;CC du Nord Est Béarn;22330
200067304;CC Serein et Armance;19970
200067320;CC Serre-Ponçon Val d'Avance;20200
200067346;CA Pornic Agglo Pays de Retz;21860
200067361;CC Grand-Figeac;20490
200067379;CC Côtes de Champagne et Val de Saulx;20000
200067429;CC Haut Nivernais-Val d'Yonne;19030
200067437;CA Provence-Alpes-Agglomération;19950
200067445;CC Buëch-Dévoluy;19690
200067452;CC du Guillestrois et du Queyras;20040
200067460;CC Loudéac Communauté - Bretagne Centre;19700
200067478;CC Comtal Lot et Truyère;20710
200067486;CC Bouzonvillois-Trois Frontières;22380
200067502;CA Saint-Avold Synergie;19840
200067544;CC Creuse Confluence;18350
200067551;CA Thonon Agglomération;26950
200067593;CC Marche et Combraille en Aquitaine;17360
200067627;CC Billom Communauté;22030
200067635;CA Clisson Sèvre et Maine Agglo;22280
200067643;CC Meurthe, Mortagne, Moselle;21050
200067650;CC Houve-Pays Boulageois;21600
200067668;CC de la Cléry, du Betz et de l'Ouanne;20640
200067676;CC Canaux et Forêts en Gâtinais;20420
200067684;CA Épernay, Coteaux et Plaine de Champagne;21700
200067692;CC Tannay-Brinon-Corbigny;19200
200067700;CC Sud Nivernais;19580
200067742;CC Serre-Ponçon;20570
200067759;CC Vallées et Plateau d'Ardenne;19280
200067767;CC du Royans-Vercors;19870
200067783;CC de Hanau-La Petite Pierre;21800
200067791;CA Pays Foix-Varilhes;20620
200067817;CC Saône-Beaujolais;21490
200067825;CA Gap-Tallard-Durance;20940
200067841;CC de l'Alsace Bossue;20670
200067866;CC Sèvre et Loire;22000
200067874;CA de Haguenau;22430
200067882;CC Bazois Loire Morvan;18500
200067890;CC Morvan Sommets et Grands Lacs;18970
200067908;CC Amognes Cœur du Nivernais;20180
200067916;CC Cœur de Loire;20040
200067924;CC du Canton d'Erstein;23260
200067932;CA Golfe du Morbihan - Vannes Agglomération;22380
200067940;CC Couserans-Pyrénées;18650
200067957;CC Haut Chemin-Pays de Pange;24730
200067965;CA de la Région de Compiègne et de la Basse Automne;21530
200067973;CC Thelloise;23260
200067981;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;19700
200067999;CA du Beauvaisis;20180
200068005;CC de l'Oise Picarde;20120
200068047;CA Creil Sud Oise;16480
200068070;CC Loue-Lison;21640
200068088;CC Les Bertranges;20470
200068096;CC Champsaur-Valgaudemar;20040
200068104;CA de la Provence Verte;21160
200068112;CC du Pays de Saverne;22230
200068120;CA Quimper Bretagne Occidentale;20960
200068146;CC Sarrebourg Moselle Sud;20520
200068229;CC des Baronnies en Drôme Provençale;18720
200068278;CC Berry Loire Puisaye;20250
200068294;CC des Deux Vallées Vertes;20320
200068369;CC de Mirecourt Dompaire;20290
200068377;CC de la Porte des Vosges Méridionales;19680
200068435;CC Cœur du Perche;20160
200068443;CC Andaine - Passais;19320
200068450;CC Argentan Intercom;19580
200068468;CC des Pays de L'Aigle;19240
200068484;CC des Causses à l'Aubrac;19580
200068500;CA de Cambrai;19360
200068534;CC Terroir de Caux;20740
200068542;CC Les Balcons du Dauphiné;22550
200068559;CC de l'Ouest Vosgien;19170
200068567;CC Les Vals du Dauphiné;21400
200068625;CC Alpes-Provence-Verdon - Sources de Lumière;18990
200068641;CA Le Muretain Agglo;22680
200068658;CA de Chaumont;20650
200068666;CA de Saint-Dizier Der et Blaise;18830
200068674;CA Grand Lac;23710
200068682;CC Terre d'Eau;20990
200068757;CA d'Épinal;20060
200068765;CC du Sisteronais-Buëch;19230
200068773;CC des Vosges côté Sud Ouest;19120
200068781;CA Valence Romans Agglo;20580
200068799;CC Intercom de la Vire au Noireau;19330
200068807;CC Bassin Auterivain Haut-Garonnais;21820
200068815;CC Cœur de Garonne;20950
200068831;CC Pays Ségali Communauté;20450
200068856;CC des Hauts du Perche;19120
200068864;CC de la Mossig et du Vignoble;23630
200068872;CC Éguzon - Argenton - Vallée de la Creuse;19360
200068880;CC Champagne Boischauts;20140
200068914;CC La Rochefoucauld - Porte du Périgord;19740
200068922;CC du Confluent et des Coteaux de Prayssas;18970
200068930;CC Fumel Vallée du Lot;18370
200068948;CC Albret Communauté;19310
200068955;CC Anjou Loir et Sarthe;20350
200068963;CC Maine Cœur de Sarthe;21940
200068989;CA Dinan Agglomération;20740
200068997;CA Arlysère;21680
200069003;CC du Barséquanais en Champagne;21020
200069029;CA des Deux Baies en Montreuillois;19890
200069037;CA du Pays de Saint-Omer;18830
200069052;CA Grand Belfort;20890
200069060;CC des Vosges du Sud;22150
200069086;CC Leff Armor Communauté;20310
200069094;CC Isle et Crempse-en-Périgord;19100
200069102;CC Randon - Margeride;19610
200069110;CA du Grand Chambéry;22460
200069128;CC Mont Lozère;19010
200069136;CC des Cévennes au Mont Lozère;16590
200069144;CC des Hautes Terres de l'Aubrac;18410
200069151;CC Gorges Causses Cévennes;18750
200069169;CC Dômes Sancy Artense;20220
200069177;CC Mond'Arverne Communauté;24090
200069185;CC des Terres d'Apcher-Margeride-Aubrac;19990
200069193;CC de la Dombes;22920
200069227;CC Pays Fort Sancerrois Val de Loire;20930
200069235;CC du Haut Pays du Montreuillois;18010
200069250;CA Troyes Champagne Métropole;19740
200069268;CC Aubrac Lot Causses Tarn;20320
200069300;CA Tarbes-Lourdes-Pyrénées;19820
200069383;CC Ouest Aveyron Communauté;19610
200069391;CA de Lamballe Terre et Mer;20980
200069409;CA Saint-Brieuc Armor Agglomération;21000
200069417;CC Pays d'Orthe et Arrigans;20300
200069425;CA Mont-Saint-Michel-Normandie;19770
200069433;CC de Vezouze en Piémont;18760
200069441;CC du Pays de Bitche;21160
200069458;CC des Vallées d'Auge et du Merlerault;18680
200069482;CC des Campagnes de l'Artois;20870
200069516;CC Seulles Terre et Mer;22330
200069524;CC Pré-Bocage Intercom;20480
200069532;CA Lisieux Normandie;19360
200069540;CC Norge et Tille;26720
200069565;CC des Lacs et Montagnes du Haut-Doubs;31330
200069581;CC Convergence Garonne;20670
200069599;CC Rurales de l'Entre-deux-Mers;19530
200069615;CC Bresse Haute Seille;21260
200069623;CC Champagnole Nozeroy Jura;21150
200069631;CC Terres de Chalosse;20210
200069649;CC Chalosse Tursan;20260
200069656;CC Cœur Haute Lande;19470
200069664;CC Meuse Rognon;19460
200069672;CC du Ternois;18300
200069698;CC Mâconnais - Tournugeois;21110
200069722;CC Interrégionale Aumale - Blangy-sur-Bresle;19270
200069730;CC des Quatre Rivières;19780
200069748;CC Val de Gâtine;19820
200069755;CC Mellois-en-Poitou;19590
200069763;CC du Haut-Poitou;20880
200069821;CA Fécamp Caux Littoral Agglomération;19930
200069839;CC de la Côte d'Albâtre;20530
200069847;CC Plateau de Caux-Doudeville-Yerville;21020
200069854;CU du Grand Poitiers;21020
200069912;CC des Forêts du Perche;19970
200069953;CC des Portes Euréliennes d'Île-de-France;23640
200069961;CC du Grand Châteaudun;19840
200069995;CC Médoc Cœur de Presqu'île;19380
200070035;CC du Civraisien en Poitou;18850
200070043;CC Vienne et Gartempe;19150
200070068;CC Communauté Bray-Eawy;19900
200070092;CA du Libournais;19890
200070100;CC du Val de Sully;21210
200070118;CC Val de Saône Centre;22930
200070126;CC Seine et Aube;20530
200070142;CC Lyons Andelle;20920
200070159;CC Cœur de Beauce;21130
200070167;CC Terres de Perche;19870
200070183;CC des Terres du Val de Loire;22220
200070233;CC Terres-de-Montaigu, communauté de communes Montaigu-Rocheservière;21230
200070282;CC Lavalette Tude Dronne;18670
200070290;CC Coeur du Pays Haut;20140
200070308;CA Mâconnais Beaujolais Agglomération;20970
200070316;CC Entre Arroux, Loire et Somme;19730
200070324;CC du Territoire de Lunéville à Baccarat;19620
200070332;CC des Savoir-Faire;19560
200070340;CC Haute-Maurienne Vanoise;21710
200070365;CC Corbières Salanque Méditerranée;18480
200070373;CC Loir-Lucé-Bercé;19380
200070407;CA Pays d'Issoire;20520
200070431;CC Saint-Marcellin Vercors Isère Communauté;21290
200070449;CC Inter-Caux-Vexin;23730
200070464;CC Cœur de Maurienne Arvan;21850
200070506;CC Pays de Nexon Monts de Chalus;20130
200070514;CA du Grand Cognac;21300
200070530;CC du Grand Autunois Morvan;19540
200070548;CC La Clayette Chauffailles en Brionnais;19820
200070555;CC de la Veyle;21890
200070563;CC Terres Touloises;21050
200070571;CC Cœur de Berry;21710
200070589;CC de Seille et Grand Couronné;23380
200070647;CA Bergeracoise;19480
200070662;CC Bretagne porte de Loire Communauté;20440
200070670;CC du Pays de Dol et de la Baie du Mont-Saint-Michel;19500
200070688;CC Couesnon Marches de Bretagne;19540
200070712;CC Thiers Dore et Montagne;18900
200070720;CC Médoc Atlantique;20580
200070738;CC Mad et Moselle;22520
200070746;CA Sarreguemines Confluences;20950
200070753;CA Riom Limagne et Volcans;23240
200070761;CC Ambert Livradois Forez;19310
200070779;CC Brie des Rivières et Châteaux;25240
200070787;CC du Plateau de Lannemezan;20180
200070795;CC du Pays de Trie et du Magnoac;18970
200070803;CC des Coteaux du Val-d'Arros;21120
200070811;CC Pyrénées Vallées des Gaves;20400
200070829;CC Neste Barousse;19880
200070845;CC Orne Lorraine Confluences;20010
200070852;CC Usses et Rhône;27080
200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;23600
200070902;CC Auxonne Pontailler Val de Saône;20460
200070910;CC Tille et Venelle;21520
200070928;CC Terre de Picardie;18950
200070936;CC Ponthieu-Marquenterre;19400
200070944;CC du Vimeu;19160
200070951;CC du Territoire Nord Picardie;20230
200070969;CC Avre Luce Noye;21510
200070977;CC du Grand Roye;19290
200070985;CC de l'Est de la Somme;18640
200070993;CA de la Baie de Somme;18930
